Date,vix
20190102,23.22
20190103,25.45
20190104,21.38
20190107,21.40
20190108,20.47
20190109,19.98
20190110,19.50
20190111,18.19
20190114,19.07
20190115,18.60
20190116,19.04
20190117,18.06
20190118,17.80
20190122,20.80
20190123,19.52
20190124,18.89
20190125,17.42
20190128,18.87
20190129,19.13
20190130,17.66
20190131,16.57
20190201,16.14
20190204,15.73
20190205,15.57
20190206,15.38
20190207,16.37
20190208,15.72
20190211,15.97
20190212,15.43
20190213,15.65
20190214,16.22
20190215,14.91
20190219,14.88
20190220,14.02
20190221,14.46
20190222,13.51
20190225,14.85
20190226,15.17
20190227,14.70
20190228,14.70
20190301,13.57
20190304,14.63
20190305,14.74
20190306,15.74
20190307,16.59
20190308,16.05
20190311,14.33
20190312,13.77
20190313,13.41
20190314,13.50
20190315,12.88
20190318,13.10
20190319,13.56
20190320,13.91
20190321,13.63
20190322,16.48
20190325,16.33
20190326,14.68
20190327,15.15
20190328,14.43
20190329,13.71
20190401,13.40
20190402,13.36
20190403,13.74
20190404,13.58
20190405,12.82
20190408,13.18
20190409,14.28
20190410,13.30
20190411,13.02
20190412,12.01
20190415,12.32
20190416,12.18
20190417,12.60
20190418,12.09
20190422,12.42
20190423,12.28
20190424,13.14
20190425,13.25
20190426,12.73
20190429,13.11
20190430,13.12
20190501,14.80
20190502,14.42
20190503,12.87
20190506,15.44
20190507,19.32
20190508,19.40
20190509,19.10
20190510,16.04
20190513,20.55
20190514,18.06
20190515,16.44
20190516,15.29
20190517,15.96
20190520,16.31
20190521,14.95
20190522,14.75
20190523,16.92
20190524,15.85
20190528,17.50
20190529,17.90
20190530,17.30
20190531,18.71
20190603,18.86
20190604,16.97
20190605,16.09
20190606,15.93
20190607,16.30
20190610,15.94
20190611,15.99
20190612,15.91
20190613,15.82
20190614,15.28
20190617,15.35
20190618,15.15
20190619,14.33
20190620,14.75
20190621,15.40
20190624,15.26
20190625,16.28
20190626,16.21
20190627,15.82
20190628,15.08
20190701,14.06
20190702,12.93
20190703,12.57
20190705,13.28
20190708,13.96
20190709,14.09
20190710,13.03
20190711,12.93
20190712,12.39
20190715,12.68
20190716,12.86
20190717,13.97
20190718,13.53
20190719,14.45
20190722,13.53
20190723,12.61
20190724,12.07
20190725,12.74
20190726,12.16
20190729,12.83
20190730,13.94
20190731,16.12
20190801,17.87
20190802,17.61
20190805,24.59
20190806,20.17
20190807,19.49
20190808,16.91
20190809,17.97
20190812,21.09
20190813,17.52
20190814,22.10
20190815,21.18
20190816,18.47
20190819,16.88
20190820,17.50
20190821,15.80
20190822,16.68
