date,time,sym_root,sym_suffix,size
2019-01-23,16:00:00,ANH,PRA,100
2019-01-24,10:28:00,ANH,PRA,100
2019-01-24,12:24:00,ANH,PRA,200
2019-01-24,14:17:00,ANH,PRA,2000
2019-01-24,15:10:00,ANH,PRA,620
2019-01-24,15:54:00,ANH,PRA,600
2019-01-24,16:00:00,ANH,PRA,100
2019-01-24,16:02:00,ANH,PRA,100
2019-01-25,10:12:00,ANH,PRA,50
2019-01-25,11:35:00,ANH,PRA,240
2019-01-25,11:46:00,ANH,PRA,170
2019-01-25,16:00:00,ANH,PRA,100
2019-01-25,16:02:00,ANH,PRA,100
2019-01-28,09:31:00,ANH,PRA,200
2019-01-28,09:55:00,ANH,PRA,200
2019-01-28,15:28:00,ANH,PRA,731
2019-01-28,15:37:00,ANH,PRA,43
2019-01-28,15:56:00,ANH,PRA,1000
2019-01-28,16:00:00,ANH,PRA,1000
2019-01-29,13:35:00,ANH,PRA,290
2019-01-29,16:00:00,ANH,PRA,290
2019-01-30,11:20:00,ANH,PRA,300
2019-01-30,11:46:00,ANH,PRA,1200
2019-01-30,12:05:00,ANH,PRA,200
2019-01-30,15:21:00,ANH,PRA,82
2019-01-30,16:00:00,ANH,PRA,100
2019-01-30,16:02:00,ANH,PRA,100
2019-01-31,09:30:00,ANH,PRA,150
2019-01-31,12:57:00,ANH,PRA,1000
2019-01-31,16:00:00,ANH,PRA,100
2019-01-31,16:02:00,ANH,PRA,150
2019-02-01,12:10:00,ANH,PRA,10
2019-02-01,12:40:00,ANH,PRA,1000
2019-02-01,15:18:00,ANH,PRA,300
2019-02-01,16:00:00,ANH,PRA,300
2019-02-04,13:43:00,ANH,PRA,1400
2019-02-04,13:59:00,ANH,PRA,100
2019-02-04,14:25:00,ANH,PRA,1100
2019-02-04,15:18:00,ANH,PRA,250
2019-02-04,16:00:00,ANH,PRA,350
2019-02-04,16:02:00,ANH,PRA,100
2019-02-05,13:25:00,ANH,PRA,20
2019-02-05,13:27:00,ANH,PRA,60
2019-02-05,14:39:00,ANH,PRA,1600
2019-02-05,16:00:00,ANH,PRA,300
2019-02-05,16:02:00,ANH,PRA,200
2019-02-06,11:08:00,ANH,PRA,400
2019-02-06,12:11:00,ANH,PRA,300
2019-02-06,13:28:00,ANH,PRA,100
2019-02-06,16:00:00,ANH,PRA,100
2019-02-07,15:50:00,ANH,PRA,100
2019-02-07,16:00:00,ANH,PRA,100
2019-02-08,15:44:00,ANH,PRA,60
2019-02-12,10:09:00,ANH,PRA,878
2019-02-12,12:16:00,ANH,PRA,813
2019-02-12,12:28:00,ANH,PRA,444
2019-02-12,12:45:00,ANH,PRA,1500
2019-02-12,12:48:00,ANH,PRA,1000
2019-02-12,15:57:00,ANH,PRA,30
