symbol,"ARMA(1, 1)",baseline,"Robust ARMA(1, 1)"
ADBE,0.024303589360124698,0.024274165501087297,0.023717310480466856
AEP,0.023505578319802038,0.02271705439578067,0.022174881508676803
AMD,0.04946607461558522,0.05207409285510973,0.05313737750800034
AMGN,0.024022079128840978,0.02316425086398874,0.022935772023656743
AMZN,0.05054143392246095,0.05251672238713488,0.05557267834302558
ATVI,0.02193858067144356,0.02019985463654759,0.021897560665167636
AVGO,0.02373215024794982,0.023754594701870364,0.02410765509450377
BIIB,0.028729037626829504,0.026251767751738216,0.02771800307147525
BKNG,0.030353840315137694,0.028442337892464527,0.03026640478889736
CSCO,0.01851621787613408,0.018402053046486847,0.017926519032859356
FB,0.04123842104159006,0.04414070138218858,0.04571775843013468
GILD,0.025997156238299582,0.024834826604142886,0.026940358436482053
GOOGL,0.02297199529744117,0.022872996225684807,0.022839690771239082
GOOG,0.027290604542001964,0.026026176732600218,0.02536453504979319
ILMN,0.028122570834568594,0.02797659122000614,0.025373116294908887
INTC,0.019015163184969777,0.018289160123877064,0.019307717081523783
KHC,0.025362139302575696,0.025677169453510496,0.02518451171118172
LRCX,0.025258222415708863,0.02478309641321649,0.02561333078134262
MRNA,0.04180494653356427,0.04041714806824135,0.048106821394778995
MSFT,0.043489956496513195,0.04881546342588626,0.05141115375860152
NFLX,0.02249728278236092,0.022633790507603592,0.022148819574078993
NVDA,0.037182009647705724,0.03424236704642182,0.04302918925986146
PYPL,0.055229378906780986,0.0554391331499377,0.05856923002428604
QCOM,0.022998647119543508,0.021238392383081284,0.02287266608745416
REGN,0.025368682396141404,0.023275756156264423,0.02604941506305919
SBUX,0.05155113537022987,0.05548132955645234,0.05761997057095962
TSLA,0.04559564253068888,0.04907624510909149,0.048766734565448236
WBA,0.027217589517001876,0.02620906801701134,0.026458269778466204
MU,0.039786023824169,0.041741457182272276,0.043889164890527146
TXN,0.024446479083035617,0.02390480734449641,0.0238470590851148
AMAT,0.023129176630631878,0.02269893071299654,0.022501501245341525
EBAY,0.031126790224925587,0.027015781588103912,0.029328674780060526
FISV,0.024749781380591165,0.022631969469056084,0.02547483327461054
VRSK,0.04265308920737288,0.03948202745650363,0.04231239954464223
PAYX,0.024526216390867387,0.023601790357484696,0.02313802463278988
PEP,0.021579169784233816,0.021849570072745773,0.020955107201347186
DXCM,0.030910584374975958,0.02916458676612578,0.028685911826504564
ADSK,0.023522398080624243,0.025123534527372,0.023117796266085067
MTCH,0.03148450400285125,0.02970499744556725,0.031197856823799087
ADI,0.02856876547082989,0.032242918436690596,0.028127511273245743
HON,0.025538913490727837,0.023123484658213136,0.027027061065675595
COST,0.10324470788647015,0.10539485891071235,0.11757496865929554
EA,0.02489241185702638,0.023514030355863146,0.02393473870725994
VRTX,0.02606958898597627,0.02385220527614433,0.025567875825788008
CSX,0.023909700119574565,0.022771146176256245,0.024239659877175645
TMUS,0.025442861339106494,0.023002508301698185,0.02697143399819203
FAST,0.024613484283281382,0.023333412100414706,0.024720984993099084
ORLY,0.033597201776868216,0.028593171147636407,0.03069496374551757
ISRG,0.02659197181947053,0.02585028591359562,0.0254826937398777
MCHP,0.029542518465769118,0.028387200252941953,0.029543858346815523
XEL,0.02805421487629056,0.0276397620535972,0.026599817898413113
MAR,0.025599409516742846,0.025942519214414848,0.02459398325640663
ALGN,0.03430482512660988,0.03470449696763274,0.032596663698042996
NXPI,0.07192191189412725,0.0761212860822463,0.08640201163227004
CDNS,0.025025784187014188,0.023422078438813148,0.02320513061389235
ADP,0.027206667206363465,0.026707004079611494,0.02685892620270302
IDXX,0.0334554744666567,0.03360630133093333,0.03148822115512117
EXC,0.024172891339581865,0.023301018800240037,0.02407613607463462
INTU,0.026690925210761142,0.02584060407091605,0.025914292227569642
CPRT,0.02344695883497221,0.02270091130284526,0.023135449354123656
DLTR,0.049660559213806396,0.051195943375464285,0.05228499324416662
CHTR,0.031716618744479584,0.029505417965940132,0.030257498815022925
ROST,0.02504169762813815,0.02295263042318458,0.023340629214210724
MNST,0.02383884151988142,0.022352877870260475,0.024381441057080795
CTSH,0.027181750540460427,0.024829675960528326,0.02659390073162529
FTNT,0.029378581164604088,0.027610190503657643,0.026564879057520474
KLAC,0.03330869937014121,0.032026082729519484,0.032362143588710694
MDLZ,0.02490062416462616,0.024105599624187766,0.023927154519472613
SNPS,0.027201848857403406,0.02691365473534582,0.026568019937110502
ANSS,0.02654619707714943,0.02537303519185798,0.024958740535444283
PCAR,0.030841921093968265,0.03230368172377596,0.029510692729783062
ODFL,0.032218577899838556,0.032239291676320524,0.03144279586828687
VRSN,0.04035412633492799,0.040718618769378184,0.04483972892835013
CTAS,0.035670321275150435,0.03496009085536207,0.03419147509912985
