symbol,"ARMA(1, 1)","Robust ARMA(1, 1)"
ABC,0.02022823661550091,0.019811818565734624
AGM,0.025714066712908226,0.025548379443079854
AGMA,inf,inf
AGMPRA,0.14835968692862173,0.15088312164520862
AGMPRB,,
AGMPRBCL,,
AGMPRC,inf,inf
AGMPRD,0.07966696164895594,0.0801189825971032
AGMPRE,inf,inf
AGMPRF,0.07491814970650577,0.07639097132297604
AGMPRG,,
AIMT,0.02353280646327634,0.024111712993609213
AIRC,0.02225557778695788,0.022033296477061953
ALLE,0.01821434309336576,0.01795485940075597
AMAL,0.036031928328580834,0.036025760971473815
AMSC,0.02666999911466713,0.0264705615647668
ANET,0.022299086563928715,0.0215897251382467
ANH,0.025972112599299955,0.026431782964490554
ANHPRA,inf,inf
ANHPRB,0.2560007990261315,0.25832770058636717
ANHPRC,0.08607848171347719,0.08656645322400307
APA,0.015502863331318775,0.01583765794982551
APH,0.017118547225234666,0.01720758479677844
APPF,0.026393482144742055,0.026166186128780584
ARA,0.03359086020193068,0.03404205979885211
AXGN,0.027605212938198474,0.02717185142307416
AYR,0.029726695371802767,0.030644182995771516
BHB,0.03516005426224369,0.034820005880248715
BIG,0.022421786291757367,0.021965998708843294
BLDR,0.018567200903156958,0.01904835432861799
BSGM,0.032493474403213,0.033408623389586854
BSY,0.026029773325948656,0.025584837170241702
BUSE,0.025158240119824954,0.024701758950096443
BWFG,0.05696049987569086,0.0574102403571876
CARA,0.02124691937539969,0.02151150633987851
CBMG,0.037757239052241036,0.039137757532150715
CHCO,0.024290017701415822,0.023874492837595917
CHMA,0.028744812949610257,0.029042074158318096
CHRA,0.05539310099705269,0.05599244088484114
CPRX,0.02093184588429328,0.020594169645118076
CR,0.02088391661253006,0.021107707489265503
CRC,0.02826889112466414,0.027580974170118393
CRWD,0.020159729336842264,0.020090345844888658
CSGP,0.024081204758223288,0.023984541400844054
CSLT,0.0313819999061827,0.03215019532635175
CSX,0.016201745177614704,0.015999709685067337
DHT,0.01923601710777138,0.019566523975409304
DOC,0.01801405155150628,0.018137617696432046
DUK,0.014267059871453717,0.014359504827444618
DUKPRA,0.03199242767281268,0.031782359875955506
EBS,0.02244523392358655,0.02276758321263014
ELS,0.020112828684528728,0.020221814212337496
EMN,0.019116847809770365,0.0191794846117502
ENSG,0.02227003282656271,0.021800131425942646
EOG,0.01652290234025108,0.01681211792328367
EROS,0.024629402610753085,0.0250256475512334
ESE,0.027003739659088567,0.027071464738891427
ETM,0.023562083093199387,0.02402355505690087
EVBG,0.025838944046421963,0.02588217302879156
EVRG,0.020240107463876614,0.02011034153165076
EVRI,0.022767078347989616,0.02283793240002409
EXTN,0.02667890607291851,0.026626256660525444
EZPW,0.026818193675954956,0.02703239495289028
FANG,0.018216710345811894,0.01839287081781228
FBM,0.028264736812560875,0.02926731796465556
FDBC,0.06815897510882504,0.0687181413771751
FISI,0.02935757736058032,0.029722668588839908
FLO,0.020427627983506513,0.02038912068451753
FLXS,0.03478565097242383,0.034314702757530534
FRBA,0.04694678703773598,0.04722796733257878
G,0.02320653350264537,0.023073294187148066
GCBC,0.07857991770612,0.07986300867649941
GCO,0.02337226868140063,0.02321400975256128
GEF,0.02190539780784568,0.02151730997545606
GEFB,0.04177574716742192,0.04197367277589178
GME,0.024832452952725143,0.02500527727130331
GPK,0.02002715961058735,0.01961545087252423
GPRO,0.02115000577519845,0.021671343456901835
HCA,0.017571492078306505,0.017344919278617716
HEES,0.024641070047465383,0.024199805600735622
HMTV,0.04015256828619873,0.03903454930659
HSII,0.02700839858885907,0.026778804360336955
HSKA,0.03322238987333084,0.03259910361212835
HUD,0.03200522731152674,0.033489462729825906
INCY,0.019359561116505317,0.019246807338393138
ISRG,0.01940621286777919,0.01920948267718191
JOE,0.0255367964529617,0.02524729022712966
JOUT,0.03194971660860561,0.03160331112871509
KRA,0.025691312739066375,0.0263707150969261
KRUS,0.03575106475938189,0.03616071155128146
LBC,0.04010583061518304,0.03963420240876617
LEA,0.02099358995383426,0.02061387314867228
LEN,0.017351876082078558,0.017141342836280948
LENB,0.03343010519414947,0.0336791085779043
LLNW,0.022143761160855095,0.022541511490638922
LNT,0.016946075992692957,0.016477524867915826
LUMN,0.016589689582914888,0.016244830309338907
MC,0.022357253657930426,0.022258978489610927
MCD,0.014575070110364411,0.014507965263685144
MCHP,0.02120743781928861,0.02050240774492045
MCRB,0.02512601685823951,0.026080339748132102
MIK,0.019795298450528596,0.020266066016954912
MOV,0.025813688811825254,0.025546721172692192
MRO,0.012669731527811603,0.012616946898121466
MUSA,0.02101640949986789,0.02075522907475868
NATH,0.05638779587927044,0.055869770017797235
NBHC,0.026391484720991,0.02682004753144308
NFLX,0.01819506660550127,0.01794607781425748
NP,0.026630068794582584,0.026253857791282975
NX,0.0248887160491854,0.02425705635091473
NXRT,0.025218229822694865,0.024929840573707375
OLN,0.019514013548582437,0.019188853238662158
OPEN,0.01963104154452441,0.019195726619378545
OPENW,,
OPTN,0.030546839631399703,0.030751252403455765
OSW,0.03366785082396607,0.03337912354931193
PCG,0.02011361397449321,0.020478375373575795
PCGPRA,inf,inf
PCGPRB,inf,inf
PCGPRC,inf,inf
PCGPRD,inf,inf
PCGPRE,inf,inf
PCGPRG,inf,inf
PCGPRH,inf,inf
PCGPRI,inf,inf
PCTY,0.024047721332983392,0.02390348900681511
PEBK,0.07719547213879642,0.07908393508968323
PEG,0.016810725408421788,0.01659946274201734
PEP,0.01399472177739417,0.013865586651795932
PII,0.022331411984674466,0.02205033737681227
PRK,0.032512085922609395,0.032250907845299596
PTCT,0.025941444648001053,0.02609973205823261
PWOD,0.050778603132228456,0.05069102614320424
PXD,0.01754084155777965,0.01751610632016015
QADA,0.03454652236849856,0.035273668821578785
RDUS,0.024308455963625585,0.024193377713554193
RECN,0.022638504659328876,0.02338496464962483
RGEN,0.02223544973547178,0.022409139382310525
RNR,0.020915852702727198,0.020851746784020065
RNRPRC,0.09047980905873275,0.09122346865401798
RNRPRCCL,,
RNRPRE,0.05378362811862276,0.05470800183988829
RNRPRF,0.0469736525441719,0.04721533655717673
RNRPRG,,
ROAN,0.04002316976934977,0.0425874004434223
RUBI,0.021641430376248993,0.021876723850162007
SBCF,0.024591317166908384,0.024181190126914807
SFL,0.01749375677530826,0.0174782996309424
SGEN,0.02113630829035105,0.021168738012393284
SGMO,0.02006561484679295,0.0200891873532849
SGRY,0.024677989727384966,0.025254910519369966
SILK,0.02496457766084262,0.02524813349740765
SNR,0.02407551271781651,0.02389422421863753
SONA,0.032235619511232785,0.032027902402494375
SR,0.019877754058974434,0.020146783607997553
SRPRA,0.04987831643755539,0.050386531769112675
STAR,0.024264754868423343,0.023682104552862168
STARPRD,0.10069664302999805,0.10155211027254112
STARPRG,0.11305624751941769,0.11436780379053989
STARPRI,0.07937072536770369,0.08204854020904892
STC,0.026282567912053745,0.026305801104168948
STNG,0.0206611719139022,0.020584835727656178
STOK,0.03406153295750986,0.034205392740483835
STXB,0.03999112387090455,0.04111096231565695
TFX,0.02234559588772374,0.021988361276492768
TH,0.03599186994614061,0.03617221303176682
TMDX,0.03110268557055093,0.030994077403027377
TOL,0.019494496262447952,0.01943581511012688
TRMB,0.02081619604047117,0.02073304982332532
TRWH,0.03284876393956027,0.033015705074602414
TTI,0.025825238082416185,0.025937896929643527
UMBF,0.023757509772572308,0.022763296411140378
UUUU,0.02290599606448598,0.02339147982603637
UUUUWS,0.17187741529636005,0.17386366819756996
VC,0.023651061493469044,0.02303845317855333
VGR,0.022518253644965486,0.021951440645604493
VICI,0.0195856010258408,0.020152169215580693
VYGR,0.025119831204644092,0.025142128247297457
WTW,,
WWD,0.024083994882800025,0.023942325872168924
XBIT,0.03250808103741774,0.03225163961712516
XBITV,,
YCBD,0.03457538042425306,0.035275524080066206
YCBDPRA,inf,inf
YRCW,0.024572826317925008,0.02495931275330525
