DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,1380069.0,1118901.0,888596.0,864622.0,864622.0,867468.0,891521.0,891521.0,0.1892427117774546,0.35612204897001526,0.3734936441583718,0.3734936441583718,0.37143142842857857,0.3540025897255862,0.3540025897255862
2021-01-05,1037335.0,1379540.0,1044406.0,1099827.0,1099827.0,1121230.0,1064730.0,1064730.0,0.3298886087907956,0.006816505757542163,0.06024283380007423,0.06024283380007423,0.08087551273214535,0.026409019265714546,0.026409019265714546
2021-01-06,1012793.0,1279598.0,1012720.0,1015095.0,1015095.0,1028298.0,1025892.0,1025892.0,0.263434877610726,7.207790733150802e-05,0.002272922502426458,0.002272922502426458,0.015309150043493586,0.01293354120733457,0.01293354120733457
2021-01-07,823501.0,1131144.0,986545.0,973969.0,973969.0,985589.0,998315.0,998315.0,0.3735793884889029,0.19798883061465622,0.18271744660905087,0.18271744660905087,0.19682793342084587,0.21228146656773944,0.21228146656773944
2021-01-08,833604.0,1003419.0,893773.0,852599.0,852599.0,853798.0,895030.0,895030.0,0.20371183439618812,0.07217935614512407,0.022786598912673164,0.022786598912673164,0.024224931742170143,0.07368726637588112,0.07368726637588112
2021-01-11,585324.0,966265.0,853445.0,820864.0,820864.0,821724.0,854339.0,854339.0,0.6508207420163875,0.45807279387142846,0.40240960562013517,0.40240960562013517,0.40387887733972977,0.4596001530776117,0.4596001530776117
2021-01-12,1406206.0,810053.0,719738.0,661357.0,661357.0,669024.0,728082.0,728082.0,0.42394428696791225,0.48817029652838917,0.529686973316854,0.529686973316854,0.5242347138328239,0.4822365997584991,0.4822365997584991
2021-01-13,902771.0,1115082.0,936995.0,870167.0,870167.0,877880.0,945301.0,945301.0,0.2351770271752194,0.03790994615467267,0.0361154711438449,0.0361154711438449,0.027571776231181552,0.0471105075373489,0.0471105075373489
2021-01-14,1472633.0,1014156.0,903778.0,911391.0,911391.0,915664.0,908015.0,908015.0,0.3113314722677001,0.38628429486504784,0.38111464295584846,0.38111464295584846,0.3782130374641883,0.3834071353826785,0.3834071353826785
2021-01-15,559419.0,1204073.0,1079059.0,1157693.0,1157693.0,1167033.0,1087766.0,1087766.0,1.1523634342058457,0.9288922971869028,1.0694559891601823,1.0694559891601823,1.0861518825781749,0.9444566594985154,0.9444566594985154
2021-01-19,771509.0,804555.0,806187.0,735916.0,735916.0,744416.0,815499.0,815499.0,0.04283294167663631,0.044948276688930394,0.046134264149867335,0.046134264149867335,0.03511689429416896,0.05701812940613784,0.05701812940613784
2021-01-20,1164658.0,817602.0,782132.0,745776.0,745776.0,751225.0,787847.0,787847.0,0.29798962442193333,0.32844491687688576,0.3596609476773439,0.3596609476773439,0.35498232099036797,0.3235378969620266,0.3235378969620266
2021-01-21,848679.0,968138.0,906799.0,941000.0,941000.0,941979.0,907743.0,907743.0,0.1407587556661588,0.06848290107331512,0.10878200120422445,0.10878200120422445,0.10993555867412767,0.06959521797994295,0.06959521797994295
2021-01-22,391775.0,899812.0,866713.0,861114.0,861114.0,861157.0,866756.0,866756.0,1.2967570671941804,1.2122723502010082,1.1979809839831537,1.1979809839831537,1.1980907408589114,1.212382107076766,1.212382107076766
