DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-02-11,3592861.0,3377041.0,4222145.0,4341693.0,4341693.0,4351051.0,4231246.0,4231246.0,0.06006912040293237,0.17514844019849363,0.20842220169385903,0.20842220169385903,0.21102681122370168,0.17768151899001938,0.17768151899001938
2021-02-12,4049096.0,3183677.0,3874346.0,3722569.0,3722569.0,3722178.0,3873939.0,3873939.0,0.21373141066549176,0.04315778139120436,0.08064195069714326,0.08064195069714326,0.08073851546122887,0.043258297654587594,0.043258297654587594
2021-02-16,6808908.0,3476580.0,4945447.0,3778288.0,4839796.0,5312122.0,5428083.0,3848749.0,0.4894071119774272,0.27367986173406955,0.4450963355651156,0.28919644677237527,0.21982761406087437,0.2027968361446505,0.43474798014600874
2021-02-17,4115300.0,4635175.0,4713451.0,5141430.0,5141430.0,5148260.0,4719713.0,4719713.0,0.12632736374018905,0.14534809126916629,0.24934512672223166,0.24934512672223166,0.25100478701431245,0.14686973003183243,0.14686973003183243
2021-02-18,3501474.0,3648020.0,4354894.0,4296921.0,4296921.0,4302919.0,4360972.0,4360972.0,0.041852659765573015,0.2437316398750926,0.2271748983428122,0.2271748983428122,0.22888789121381453,0.2454674802668819,0.2454674802668819
2021-02-19,2305867.0,3378570.0,3907372.0,3661615.0,3661615.0,3676678.0,3923446.0,3923446.0,0.46520592904968067,0.6945348539182876,0.5879558534815755,0.5879558534815755,0.5944883204451948,0.7015057676787083,0.7015057676787083
2021-02-22,2605932.0,2717301.0,3096737.0,2694043.0,2694043.0,2703739.0,3107881.0,3107881.0,0.042736725286768806,0.18834144559412908,0.03381170345197035,0.03381170345197035,0.03753244520578434,0.19261784267586415,0.19261784267586415
2021-02-23,3101278.0,2845325.0,2846655.0,2597142.0,2597142.0,2619831.0,2871524.0,2871524.0,0.08253145961116676,0.0821026041522237,0.16255750048850828,0.16255750048850828,0.15524148431711055,0.07408365196541555,0.07408365196541555
2021-02-24,1897807.0,3054000.0,2912952.0,2839381.0,2839381.0,2861566.0,2935712.0,2935712.0,0.6092258064176178,0.5349042342029511,0.49613791075699476,0.49613791075699476,0.5078277190462466,0.5468970237753364,0.5468970237753364
2021-02-25,2403526.0,2436298.0,2421998.0,2199077.0,2199077.0,2205098.0,2428630.0,2428630.0,0.013634967959572728,0.007685375569059789,0.08506211291244613,0.08506211291244613,0.08255704327725184,0.010444655060939636,0.010444655060939636
2021-02-26,2819435.0,2720370.0,2399564.0,2303704.0,2303704.0,2358810.0,2456963.0,2456963.0,0.03513647237833112,0.1489202623929972,0.18291998219501424,0.18291998219501424,0.16337493150223362,0.12856192818773973,0.12856192818773973
2021-03-01,2658948.0,3003095.0,3309646.0,2577420.0,3354637.0,3448427.0,3402178.0,2598321.0,0.1294297594386953,0.24472009230718314,0.03066175043663885,0.26164069398875045,0.2969140426965853,0.27952032157078666,0.022801122850089586
2021-03-02,2948858.0,2871407.0,2570730.0,2590589.0,2590589.0,2606897.0,2586913.0,2586913.0,0.02626474384320981,0.1282286227414138,0.12149415129517935,0.12149415129517935,0.11596387482883204,0.12274073556610729,0.12274073556610729
2021-03-03,2702253.0,3095960.0,2697604.0,2761230.0,2761230.0,2784802.0,2720633.0,2720633.0,0.1456958323295413,0.0017204162600615116,0.021825121481963385,0.021825121481963385,0.030548212917147283,0.006801731740144243,0.006801731740144243
2021-03-04,3604237.0,3020800.0,2673061.0,2674683.0,2674683.0,2718064.0,2716415.0,2716415.0,0.16187531508055658,0.25835592942417496,0.2579059035241023,0.2579059035241023,0.2458697915814082,0.24632730866477426,0.24632730866477426
2021-03-05,4064397.0,3514371.0,2993307.0,3152271.0,3152271.0,3221893.0,3059418.0,3059418.0,0.1353278235369232,0.2635298667920481,0.22441852998120015,0.22441852998120015,0.20728880569491612,0.24726398528490204,0.24726398528490204
2021-03-08,2606881.0,3827428.0,3354081.0,3583810.0,3583810.0,3624494.0,3392157.0,3392157.0,0.46820203914179437,0.2866260485231202,0.3747501324379594,0.3747501324379594,0.3903565218358644,0.3012320086724327,0.3012320086724327
