DATE,total_vol_m,baseline,overnight_model,robustARMA_model,combined_model,combinedVIX_model,overnightVIX_model,robustVIX_model,baseline_error,overnight_error,robustARMA_error,combined_error,combinedVIX_error,overnightVIX_error,robustVIX_error
2021-01-04,249439.0,205500.0,213538.0,214431.0,214431.0,214724.0,213829.0,213829.0,0.1761512834801294,0.1439269721254495,0.14034693853006147,0.14034693853006147,0.13917230264714017,0.14276035423490313,0.14276035423490313
2021-01-05,382260.0,228698.0,241154.0,246099.0,246099.0,249557.0,244543.0,244543.0,0.4017213414953173,0.3691361900277298,0.3561999686077539,0.3561999686077539,0.34715376968555434,0.3602704965206927,0.3602704965206927
2021-01-06,576487.0,288808.0,310176.0,330097.0,330097.0,333060.0,312961.0,312961.0,0.499020793183541,0.4619549096510416,0.4273990567003246,0.4273990567003246,0.4222593050667231,0.4571239247372447,0.4571239247372447
2021-01-07,330917.0,378430.0,421860.0,463250.0,463250.0,467134.0,425396.0,425396.0,0.14357981004300172,0.27482117872457446,0.3998978595841253,0.3998978595841253,0.41163494169232767,0.285506637616079,0.285506637616079
2021-01-08,223874.0,316310.0,372308.0,370789.0,370789.0,370330.0,371847.0,371847.0,0.4128929665794152,0.6630247371289207,0.6562396705289583,0.6562396705289583,0.6541894101146181,0.6609655431180039,0.6609655431180039
2021-01-11,180762.0,250679.0,295365.0,277331.0,277331.0,277330.0,295364.0,295364.0,0.3867903652316305,0.6339994025292927,0.5342328586760492,0.5342328586760492,0.5342273265398702,0.6339938703931136,0.6339938703931136
2021-01-12,259732.0,208930.0,241138.0,220835.0,220835.0,222642.0,243111.0,243111.0,0.1955939198866524,0.07158917653581384,0.1497582123111515,0.1497582123111515,0.14280104107310612,0.06399288497374217,0.06399288497374217
2021-01-13,206683.0,245061.0,258463.0,253825.0,253825.0,255282.0,259946.0,259946.0,0.18568532486948613,0.2505285872568136,0.22808842526961579,0.22808842526961579,0.23513786813622795,0.2577038266330564,0.2577038266330564
2021-01-14,218056.0,226331.0,240746.0,232551.0,232551.0,233036.0,241248.0,241248.0,0.03794896723777378,0.10405583886708002,0.06647374986242066,0.06647374986242066,0.0686979491506769,0.10635799977987306,0.10635799977987306
2021-01-15,160902.0,222870.0,238589.0,233033.0,233033.0,234357.0,239945.0,239945.0,0.3851288361860014,0.48282184186647775,0.4482915066313657,0.4482915066313657,0.45652011783570123,0.49124933189146186,0.49124933189146186
2021-01-19,227553.0,192852.0,207850.0,196751.0,196751.0,198286.0,209471.0,209471.0,0.15249634151164784,0.08658642162485224,0.13536187173977052,0.13536187173977052,0.1286161905138583,0.07946280646706481,0.07946280646706481
2021-01-20,218881.0,217922.0,227421.0,225697.0,225697.0,226658.0,228389.0,228389.0,0.004381376181578118,0.03901663460967375,0.031140208606503076,0.031140208606503076,0.03553072217323568,0.043439129024447076,0.043439129024447076
2021-01-21,241786.0,212672.0,232988.0,231354.0,231354.0,231098.0,232729.0,232729.0,0.12041226539171003,0.03638754932047348,0.0431455915561695,0.0431455915561695,0.04420437907902029,0.03745874450960767,0.03745874450960767
2021-01-22,340208.0,229904.0,246401.0,246825.0,246825.0,246337.0,245914.0,245914.0,0.3242251798899497,0.27573425669002494,0.2744879603066359,0.2744879603066359,0.27592237689883836,0.27716573390396465,0.27716573390396465
2021-01-25,280670.0,271910.0,292687.0,306001.0,306001.0,305355.0,292069.0,292069.0,0.03121103074785335,0.04281540599280294,0.09025189724587594,0.09025189724587594,0.08795026187337443,0.04061353190579684,0.04061353190579684
2021-01-26,161795.0,261724.0,292617.0,295854.0,295854.0,296084.0,292844.0,292844.0,0.6176272443524212,0.8085663957477054,0.8285731944744893,0.8285731944744893,0.8299947464383942,0.8099694057294725,0.8099694057294725
2021-01-27,288275.0,212118.0,247512.0,214979.0,229985.0,255731.0,275220.0,231396.0,0.2641817708785014,0.14140317405255398,0.2542572196687191,0.20220275778336658,0.11289220362501085,0.045286618680079785,0.19730812592142918
2021-01-28,411390.0,258221.0,263640.0,251994.0,251994.0,263082.0,275240.0,275240.0,0.3723206689516031,0.3591482534820973,0.3874571574418435,0.3874571574418435,0.3605046306424561,0.3309511655606602,0.3309511655606602
2021-01-29,394203.0,325842.0,332291.0,350890.0,350890.0,357688.0,338729.0,338729.0,0.17341572742977604,0.1570561360517297,0.1098748614292636,0.1098748614292636,0.09262993939670677,0.14072444907826678,0.14072444907826678
2021-02-01,306700.0,336844.0,357207.0,372176.0,372176.0,384425.0,368963.0,368963.0,0.09828496902510597,0.16467883925660254,0.21348549070753178,0.21348549070753178,0.2534235409194653,0.20300945549396804,0.20300945549396804
2021-02-02,334782.0,311603.0,375603.0,333504.0,373706.0,382298.0,384238.0,343232.0,0.06923609990979204,0.12193307883936412,0.003817409538147212,0.11626670490050242,0.14193116714757664,0.14772598287841043,0.025240305631724524
2021-02-03,324516.0,313653.0,337321.0,335988.0,335988.0,339231.0,340576.0,340576.0,0.03347446659024517,0.0394587632042796,0.03535110749547018,0.03535110749547018,0.04534445142920534,0.04948908528393053,0.04948908528393053
2021-02-04,203668.0,304335.0,333923.0,331261.0,331261.0,331807.0,334473.0,334473.0,0.49427008661154426,0.6395457312881748,0.6264754404226486,0.6264754404226486,0.6291562739360135,0.6422462046074985,0.6422462046074985
2021-02-05,243021.0,238499.0,272432.0,256095.0,256095.0,255569.0,271873.0,271873.0,0.01860744544710128,0.12102246307932236,0.05379781994148654,0.05379781994148654,0.05163339793680381,0.11872225034050556,0.11872225034050556
2021-02-08,319364.0,240476.0,264937.0,255407.0,255407.0,254404.0,263897.0,263897.0,0.2470159441890758,0.17042309089315014,0.20026364900239224,0.20026364900239224,0.20340426597863254,0.1736795631317243,0.1736795631317243
2021-02-09,239295.0,278193.0,294192.0,297057.0,297057.0,296045.0,293191.0,293191.0,0.16255249796276564,0.22941139597567856,0.2413840656929731,0.2413840656929731,0.23715497607555527,0.22522827472366744,0.22522827472366744
2021-02-10,227105.0,260311.0,273828.0,267929.0,267929.0,267325.0,273210.0,273210.0,0.14621430615794456,0.20573303097686094,0.17975826159705863,0.17975826159705863,0.17709869883974372,0.20301182272517118,0.20301182272517118
2021-02-11,353999.0,244483.0,258314.0,250664.0,250664.0,250362.0,258003.0,258003.0,0.30936810555962024,0.2702973737213947,0.2919076042587691,0.2919076042587691,0.29276071401331644,0.2711759072765742,0.2711759072765742
2021-02-12,264177.0,297671.0,304622.0,314413.0,314413.0,312588.0,302855.0,302855.0,0.1267862077319373,0.1530981122504987,0.19016038489346157,0.19016038489346157,0.183252137771267,0.14640941489985881,0.14640941489985881
2021-02-16,247180.0,278451.0,289787.0,287692.0,287692.0,285745.0,287827.0,287827.0,0.12651104458289505,0.17237236022331903,0.1638967554009224,0.1638967554009224,0.15601990452301967,0.16444291609353506,0.16444291609353506
